H S Q
7.95	-0.15	4101.15	
7.96	-0.15	4109.06	
7.97	-0.15	4116.97	
7.98	-0.15	4124.87	
7.99	-0.15	4132.77	
8.00	-0.15	4140.68	
8.01	-0.15	4148.58	
8.02	-0.15	4156.49	
8.03	-0.15	4164.39	
8.04	-0.15	4172.29	
8.05	-0.15	4180.19	
8.06	-0.15	4188.09	
8.07	-0.15	4196.00	
8.08	-0.15	4203.90	
8.09	-0.15	4211.80	
8.10	-0.15	4219.70	
8.11	-0.15	4227.60	
8.12	-0.15	4235.50	
8.13	-0.15	4243.40	
8.14	-0.15	4251.29	
8.15	-0.15	4259.19	
8.16	-0.15	4267.09	
8.17	-0.15	4274.99	
8.18	-0.15	4282.88	
8.19	-0.15	4290.78	
8.20	-0.15	4298.68	
8.21	-0.15	4306.57	
8.22	-0.15	4314.47	
8.23	-0.15	4322.36	
8.24	-0.15	4330.26	
8.25	-0.15	4338.15	
8.26	-0.15	4346.05	
8.27	-0.15	4353.94	
8.28	-0.15	4361.84	
8.29	-0.15	4369.73	
8.30	-0.15	4377.62	
8.31	-0.15	4385.51	
8.32	-0.15	4393.41	
8.33	-0.15	4401.30	
8.34	-0.15	4409.19	
8.35	-0.15	4417.08	
8.36	-0.15	4424.97	
8.37	-0.15	4432.86	
8.38	-0.15	4440.75	
8.39	-0.15	4448.64	
8.40	-0.15	4456.53	
8.41	-0.15	4464.42	
8.42	-0.15	4472.31	
8.43	-0.15	4480.19	
8.44	-0.15	4488.08	
8.45	-0.15	4495.97	
8.46	-0.15	4503.86	
8.47	-0.15	4511.74	
8.48	-0.15	4519.63	
8.49	-0.15	4527.51	
8.50	-0.15	4535.40	
8.51	-0.15	4543.29	
8.52	-0.15	4551.17	
8.53	-0.15	4559.06	
8.54	-0.15	4566.94	
8.55	-0.15	4574.82	
8.56	-0.15	4582.71	
8.57	-0.15	4590.59	
8.58	-0.15	4598.47	
8.59	-0.15	4606.35	
8.60	-0.15	4614.24	
8.61	-0.15	4622.12	
8.62	-0.15	4630.00	
8.63	-0.15	4637.88	
8.64	-0.15	4645.76	
8.65	-0.15	4653.64	
8.66	-0.15	4661.52	
8.67	-0.15	4669.40	
8.68	-0.15	4677.28	
8.69	-0.15	4685.16	
8.70	-0.15	4693.04	
8.71	-0.16	4700.92	
8.72	-0.16	4708.80	
8.73	-0.16	4716.67	
8.74	-0.16	4724.55	
8.75	-0.16	4732.43	
8.76	-0.16	4740.30	
8.77	-0.16	4748.18	
8.78	-0.16	4756.06	
8.79	-0.16	4763.93	
8.80	-0.16	4771.81	
8.81	-0.16	4779.68	
8.82	-0.16	4787.56	
8.83	-0.16	4795.43	
8.84	-0.16	4803.31	
8.85	-0.16	4811.18	
8.86	-0.16	4819.05	
8.87	-0.16	4826.93	
8.88	-0.16	4834.80	
8.89	-0.16	4842.67	
8.90	-0.16	4850.54	
8.91	-0.16	4858.41	
8.92	-0.16	4866.29	
8.93	-0.16	4874.16	
8.94	-0.16	4882.03	
8.95	-0.16	4889.90	
8.96	-0.16	4897.77	
8.97	-0.16	4905.64	
8.98	-0.16	4913.51	
8.99	-0.16	4921.38	
9.00	-0.16	4929.24	
9.01	-0.16	4937.11	
9.02	-0.16	4944.98	
9.03	-0.16	4952.85	
9.04	-0.16	4960.72	
9.05	-0.16	4968.58	
9.06	-0.16	4976.45	
9.07	-0.16	4984.32	
9.08	-0.16	4992.18	
9.09	-0.16	5000.05	
9.10	-0.16	5007.91	
9.11	-0.16	5015.78	
9.12	-0.16	5023.64	
9.13	-0.16	5031.51	
9.14	-0.16	5039.37	
9.15	-0.16	5047.24	
9.16	-0.16	5055.10	
9.17	-0.16	5062.96	
9.18	-0.16	5070.83	
9.19	-0.16	5078.69	
9.20	-0.16	5086.55	
9.21	-0.16	5094.42	
9.22	-0.16	5102.28	
9.23	-0.16	5110.14	
9.24	-0.16	5118.00	
9.25	-0.16	5125.86	
9.26	-0.16	5133.72	
9.27	-0.16	5141.58	
9.28	-0.16	5149.44	
9.29	-0.16	5157.30	
9.30	-0.16	5165.16	
9.31	-0.16	5173.02	
9.32	-0.16	5180.88	
9.33	-0.16	5188.74	
9.34	-0.16	5196.59	
9.35	-0.16	5204.45	
9.36	-0.16	5212.31	
9.37	-0.16	5220.17	
9.38	-0.16	5228.02	
9.39	-0.16	5235.88	
9.40	-0.16	5243.74	
9.41	-0.16	5251.59	
9.42	-0.16	5259.45	
9.43	-0.16	5267.30	
9.44	-0.16	5275.16	
9.45	-0.16	5283.01	
9.46	-0.16	5290.87	
9.47	-0.16	5298.72	
9.48	-0.16	5306.58	
9.49	-0.16	5314.43	
9.50	-0.16	5322.28	
9.51	-0.16	5330.14	
9.52	-0.16	5337.99	
9.53	-0.16	5345.84	
9.54	-0.16	5353.69	
9.55	-0.16	5361.55	
9.56	-0.16	5369.40	
9.57	-0.16	5377.25	
9.58	-0.16	5385.10	
9.59	-0.16	5392.95	
9.60	-0.16	5400.80	
9.61	-0.16	5408.65	
9.62	-0.16	5416.50	
9.63	-0.17	5424.35	
9.64	-0.17	5432.20	
9.65	-0.17	5440.05	
9.66	-0.17	5447.90	
9.67	-0.17	5455.75	
9.68	-0.17	5463.59	
9.69	-0.17	5471.44	
9.70	-0.17	5479.29	
9.71	-0.17	5487.14	
9.72	-0.17	5494.98	
9.73	-0.17	5502.83	
9.74	-0.17	5510.68	
9.75	-0.17	5518.52	
9.76	-0.17	5526.37	
9.77	-0.17	5534.21	
9.78	-0.17	5542.06	
9.79	-0.17	5549.90	
9.80	-0.17	5557.75	
9.81	-0.17	5565.59	
9.82	-0.17	5573.44	
9.83	-0.17	5581.28	
9.84	-0.17	5589.12	
9.85	-0.17	5596.97	
9.86	-0.17	5604.81	
9.87	-0.17	5612.65	
9.88	-0.17	5620.49	
9.89	-0.17	5628.34	
9.90	-0.17	5636.18	
9.91	-0.17	5644.02	
9.92	-0.17	5651.86	
9.93	-0.17	5659.70	
9.94	-0.17	5667.54	
9.95	-0.17	5675.38	
9.96	-0.17	5683.22	
9.97	-0.17	5691.06	
9.98	-0.17	5698.90	
9.99	-0.17	5706.74	
10.00	-0.17	5714.58	
10.01	-0.17	5722.42	
10.02	-0.17	5730.26	
10.03	-0.17	5738.10	
10.04	-0.17	5745.93	
10.05	-0.17	5753.77	
10.06	-0.17	5761.61	
10.07	-0.17	5769.45	
10.08	-0.17	5777.28	
10.09	-0.17	5785.12	
10.10	-0.17	5792.96	
10.11	-0.17	5800.79	
10.12	-0.17	5808.63	
10.13	-0.17	5816.46	
10.14	-0.17	5824.30	
10.15	-0.17	5832.13	
10.16	-0.17	5839.97	
10.17	-0.17	5847.80	
10.18	-0.17	5855.64	
10.19	-0.17	5863.47	
10.20	-0.17	5871.30	
10.21	-0.17	5879.14	
10.22	-0.17	5886.97	
10.23	-0.17	5894.80	
10.24	-0.17	5902.64	
10.25	-0.17	5910.47	
10.26	-0.17	5918.30	
10.27	-0.17	5926.13	
10.28	-0.17	5933.96	
10.29	-0.17	5941.80	
10.30	-0.17	5949.63	
10.31	-0.17	5957.46	
10.32	-0.17	5965.29	
10.33	-0.17	5973.12	
10.34	-0.17	5980.95	
10.35	-0.17	5988.78	
10.36	-0.17	5996.61	
10.37	-0.17	6004.44	
10.38	-0.17	6012.26	
10.39	-0.17	6020.09	
10.40	-0.17	6027.92	
10.41	-0.17	6035.75	
10.42	-0.17	6043.58	
10.43	-0.17	6051.40	
10.44	-0.17	6059.23	
10.45	-0.17	6067.06	
10.46	-0.17	6074.89	
10.47	-0.17	6082.71	
10.48	-0.17	6090.54	
10.49	-0.17	6098.36	
10.50	-0.17	6106.19	
10.51	-0.17	6114.02	
10.52	-0.17	6121.84	
10.53	-0.17	6129.67	
10.54	-0.17	6137.49	
10.55	-0.18	6145.31	
10.56	-0.18	6153.14	
10.57	-0.18	6160.96	
10.58	-0.18	6168.79	
10.59	-0.18	6176.61	
10.60	-0.18	6184.43	
10.61	-0.18	6192.26	
10.62	-0.18	6200.08	
10.63	-0.18	6207.90	
10.64	-0.18	6215.72	
10.65	-0.18	6223.55	
